Actual Temperature,Predicted Temperature
,33.7330881
,34.60482955
,35.5705868
,36.22545175
,37.05962522
,37.95088218
,36.96850444
,37.40618542
,39.50565808
,41.31384377
,42.3382754
,43.79567927
,45.38179952
,45.58418103
,46.01855674
,47.1709879
,46.66554155
,43.46828911
,41.76898646
,39.81560898
,37.08939424
,35.8938797
,35.33183005
,35.03008057
,35.78318122
,35.93335638
,37.50867729
,39.85072759
,40.39292316
,43.04653423
,43.425128
,45.09116031
,46.64170767
,47.61774175
,46.82550384
,47.936262
,50.05534259
,50.63350316
,51.32440911
,51.48413389
,51.47697751
,51.09954192
,48.83165595
,46.49232363
,45.26200313
,46.47318986
,45.64896933
,45.88493124
,46.35131374
,48.09363241
,48.93439397
,49.78069511
,51.2372474
,51.60165451
,52.98701134
,53.31881659
,53.31970617
,55.79234442
,56.62745109
,55.76376338
,57.20357966
,57.96703681
,58.74996974
,59.30968359
,58.12817229
,54.82021371
,50.03751728
,45.76620753
,43.37962116
,42.36766441
,42.50039687
,42.41625455
,43.56014228
,45.34437492
,46.41568489
,48.03699025
,49.52331156
,49.98802373
,50.48800564
,49.77542326
,50.37824338
,50.71334525
,51.02672925
,52.19194145
,53.02575348
,53.50807417
,51.15123265
,52.30048809
,53.3089608
,50.22949413
,45.51600713
,41.98941092
,39.68808101
,37.95877268
,37.45246438
,37.77467424
,39.79909386
,41.80885353
,44.28223022
,44.48683395
,46.13132198
,47.39710569
,48.09008618
,49.36584269
,49.80488827
,51.17442913
